Frame,Stamp,Timestamp,Seconds,Time
367,1668438472248641929,80489874247,80.489874247,01:20
368,1668438472485001891,80726234209,80.726234209,01:20
369,1668438472664578088,80905810406,80.905810406,01:20
370,1668438472880790420,81122022738,81.122022738,01:21
371,1668438473090660625,81331892943,81.331892943,01:21
372,1668438473323736242,81564968560,81.56496856,01:21
373,1668438473550973820,81792206138,81.792206138,01:21
374,1668438473811831704,82053064022,82.053064022,01:22
375,1668438474043468812,82284701130,82.28470113,01:22
376,1668438474258263226,82499495544,82.499495544,01:22
377,1668438474498348014,82739580332,82.739580332,01:22
378,1668438474713230238,82954462556,82.954462556,01:22
379,1668438474928254629,83169486947,83.169486947,01:23
380,1668438475216259910,83457492228,83.457492228,01:23
381,1668438475519582914,83760815232,83.760815232,01:23
382,1668438475802819858,84044052176,84.044052176,01:24
383,1668438476030975657,84272207975,84.272207975,01:24
384,1668438476245076356,84486308674,84.486308674,01:24
385,1668438476483823482,84725055800,84.7250558,01:24
386,1668438476725358626,84966590944,84.966590944,01:24
387,1668438476962149939,85203382257,85.203382257,01:25
388,1668438477179934652,85421166970,85.42116697,01:25
389,1668438477378895421,85620127739,85.620127739,01:25
390,1668438477602755010,85843987328,85.843987328,01:25
391,1668438477858145617,86099377935,86.099377935,01:26
392,1668438478021795092,86263027410,86.26302741,01:26
393,1668438478229786821,86471019139,86.471019139,01:26
394,1668438478460455235,86701687553,86.701687553,01:26
395,1668438478675451213,86916683531,86.916683531,01:26
396,1668438478970302513,87211534831,87.211534831,01:27
397,1668438479264706091,87505938409,87.505938409,01:27
398,1668438479476008539,87717240857,87.717240857,01:27
399,1668438479697615433,87938847751,87.938847751,01:27
400,1668438479914735183,88155967501,88.155967501,01:28
401,1668438480145291368,88386523686,88.386523686,01:28
402,1668438480361583164,88602815482,88.602815482,01:28
403,1668438480569875459,88811107777,88.811107777,01:28
404,1668438480778257512,89019489830,89.01948983,01:29
405,1668438481003066789,89244299107,89.244299107,01:29
406,1668438481232051811,89473284129,89.473284129,01:29
407,1668438481458334874,89699567192,89.699567192,01:29
408,1668438481697842477,89939074795,89.939074795,01:29
409,1668438481918028203,90159260521,90.159260521,01:30
410,1668438482141829344,90383061662,90.383061662,01:30
411,1668438482363504928,90604737246,90.604737246,01:30
412,1668438482570395711,90811628029,90.811628029,01:30
413,1668438482777172998,91018405316,91.018405316,01:31
414,1668438483066455539,91307687857,91.307687857,01:31
415,1668438483289812756,91531045074,91.531045074,01:31
416,1668438483507682439,91748914757,91.748914757,01:31
417,1668438483739899848,91981132166,91.981132166,01:31
418,1668438483965233199,92206465517,92.206465517,01:32
419,1668438484185561239,92426793557,92.426793557,01:32
420,1668438484421049593,92662281911,92.662281911,01:32
421,1668438484631585335,92872817653,92.872817653,01:32
422,1668438484843699043,93084931361,93.084931361,01:33
423,1668438485062287061,93303519379,93.303519379,01:33
424,1668438485293876675,93535108993,93.535108993,01:33
425,1668438485497785541,93739017859,93.739017859,01:33
426,1668438485728953739,93970186057,93.970186057,01:33
427,1668438485958516919,94199749237,94.199749237,01:34
428,1668438486174556984,94415789302,94.415789302,01:34
429,1668438486396230158,94637462476,94.637462476,01:34
430,1668438486609481591,94850713909,94.850713909,01:34
431,1668438486877184120,95118416438,95.118416438,01:35
432,1668438487046912362,95288144680,95.28814468,01:35
433,1668438487263426819,95504659137,95.504659137,01:35
434,1668438487480370225,95721602543,95.721602543,01:35
435,1668438487716798295,95958030613,95.958030613,01:35
436,1668438487933541496,96174773814,96.174773814,01:36
437,1668438488146171321,96387403639,96.387403639,01:36
438,1668438488442920731,96684153049,96.684153049,01:36
439,1668438488724744830,96965977148,96.965977148,01:36
440,1668438489018012298,97259244616,97.259244616,01:37
441,1668438489240166537,97481398855,97.481398855,01:37
442,1668438489450128650,97691360968,97.691360968,01:37
443,1668438489661561770,97902794088,97.902794088,01:37
444,1668438489870589164,98111821482,98.111821482,01:38
445,1668438490092429084,98333661402,98.333661402,01:38
446,1668438490300269998,98541502316,98.541502316,01:38
447,1668438490515501053,98756733371,98.756733371,01:38
448,1668438490746556930,98987789248,98.987789248,01:38
449,1668438490994532195,99235764513,99.235764513,01:39
450,1668438491214209046,99455441364,99.455441364,01:39
451,1668438491455474861,99696707179,99.696707179,01:39
452,1668438491695032757,99936265075,99.936265075,01:39
453,1668438491915977418,100157209736,100.157209736,01:40
454,1668438492125356864,100366589182,100.366589182,01:40
455,1668438492331985900,100573218218,100.573218218,01:40
456,1668438492530805245,100772037563,100.772037563,01:40
457,1668438492758341958,100999574276,100.999574276,01:40
458,1668438492978483366,101219715684,101.219715684,01:41
459,1668438493199567606,101440799924,101.440799924,01:41
460,1668438493415224026,101656456344,101.656456344,01:41
461,1668438493628749389,101869981707,101.869981707,01:41
462,1668438493851407577,102092639895,102.092639895,01:42
463,1668438494123145081,102364377399,102.364377399,01:42
464,1668438494326057120,102567289438,102.567289438,01:42
465,1668438494549230928,102790463246,102.790463246,01:42
466,1668438494758043070,102999275388,102.999275388,01:42
467,1668438494966742306,103207974624,103.207974624,01:43
468,1668438495192467444,103433699762,103.433699762,01:43
469,1668438495426949258,103668181576,103.668181576,01:43
470,1668438495659707975,103900940293,103.900940293,01:43
471,1668438495891976442,104133208760,104.13320876,01:44
472,1668438496132735254,104373967572,104.373967572,01:44
473,1668438496340440380,104581672698,104.581672698,01:44
474,1668438496558412434,104799644752,104.799644752,01:44
475,1668438496792862766,105034095084,105.034095084,01:45
476,1668438496999838988,105241071306,105.241071306,01:45
477,1668438497211945073,105453177391,105.453177391,01:45
478,1668438497444192589,105685424907,105.685424907,01:45
479,1668438497677122685,105918355003,105.918355003,01:45
480,1668438497930502056,106171734374,106.171734374,01:46
481,1668438498168829135,106410061453,106.410061453,01:46
482,1668438498408711729,106649944047,106.649944047,01:46
483,1668438498631380545,106872612863,106.872612863,01:46
484,1668438498865209856,107106442174,107.106442174,01:47
485,1668438499083817477,107325049795,107.325049795,01:47
486,1668438499309928553,107551160871,107.551160871,01:47
487,1668438499509234541,107750466859,107.750466859,01:47
488,1668438499746760035,107987992353,107.987992353,01:47
489,1668438500020272286,108261504604,108.261504604,01:48
490,1668438500240890824,108482123142,108.482123142,01:48
491,1668438500471858727,108713091045,108.713091045,01:48
492,1668438500694313385,108935545703,108.935545703,01:48
493,1668438500917644730,109158877048,109.158877048,01:49
494,1668438501129925500,109371157818,109.371157818,01:49
495,1668438501350111047,109591343365,109.591343365,01:49
496,1668438501560505228,109801737546,109.801737546,01:49
497,1668438501852109422,110093341740,110.09334174,01:50
498,1668438502082863455,110324095773,110.324095773,01:50
499,1668438502314606277,110555838595,110.555838595,01:50
500,1668438502517087046,110758319364,110.758319364,01:50
501,1668438502738823173,110980055491,110.980055491,01:50
502,1668438502945995707,111187228025,111.187228025,01:51
503,1668438503156607229,111397839547,111.397839547,01:51
504,1668438503384333497,111625565815,111.625565815,01:51
505,1668438503619667993,111860900311,111.860900311,01:51
