Frame ID,FER Label,AU Multi,Valence,Arousal
287,Contempt,['lip_pucker'],0.011971775442361832,-0.33462202548980713
288,Neutral,[],0.08290275931358337,-0.2797064185142517
289,Neutral,"['lip_pucker', 'nostril_dilator']",-0.019583582878112793,-0.06594298034906387
290,Neutral,"['lip_pucker', 'nostril_dilator']",0.1312030702829361,-0.08219531923532486
291,Neutral,"['lip_pucker', 'lips_part', 'nostril_dilator']",0.026791810989379883,-0.08061575889587402
292,Neutral,"['lip_pucker', 'lips_part', 'nostril_dilator']",-0.01565387099981308,-0.0562572106719017
293,Neutral,['lips_part'],0.3577345609664917,-0.0693974420428276
294,Neutral,['lips_part'],0.47576406598091125,-0.0892660990357399
295,Neutral,['lips_part'],0.40266865491867065,-0.07740176469087601
296,Neutral,"['lips_part', 'nostril_dilator']",0.39591896533966064,-0.07887689769268036
297,Neutral,"['lips_part', 'nostril_dilator']",0.19963768124580383,-0.06336362659931183
298,Neutral,['lips_part'],0.33269384503364563,-0.06694669276475906
299,Neutral,['lips_part'],0.3643178939819336,-0.04224592074751854
300,Contempt,[],0.3039554953575134,-0.06914078444242477
301,Contempt,['lip_pucker'],0.20813581347465515,-0.0886753499507904
302,Contempt,"['sharp_lip_puller', 'lip_pucker']",0.22895482182502747,-0.14080597460269928
303,Surprise,"['lip_pucker', 'lips_part']",0.21593475341796875,0.050638992339372635
304,Surprise,"['lip_pucker', 'lips_part']",0.13015155494213104,0.08595401048660278
305,Surprise,"['lid_tightener', 'lip_pucker', 'lips_part']",0.19711558520793915,0.06050653010606766
306,Surprise,"['lid_tightener', 'lips_part']",0.16517962515354156,0.079195536673069
307,Surprise,"['lid_tightener', 'lips_part']",0.08300241827964783,0.09954660385847092
308,Surprise,"['lid_tightener', 'lips_part']",0.33147385716438293,0.15115384757518768
309,Surprise,['lips_part'],0.4058617949485779,-0.0029806471429765224
310,Contempt,"['lid_tightener', 'lips_part']",0.38314637541770935,0.0007630013860762119
311,Contempt,"['lid_tightener', 'lips_part']",0.3828212022781372,-1.620640978217125e-05
312,Contempt,[],0.4049984812736511,-0.10663255304098129
313,Contempt,['right_inner_brow_raiser'],0.3269891142845154,-0.1070694625377655
314,Contempt,"['lip_pucker', 'right_inner_brow_raiser']",0.32514113187789917,-0.10360865294933319
315,Contempt,[],0.34789496660232544,-0.09892918914556503
316,Contempt,"['lip_pucker', 'left_nasolabial_deepener']",0.38371554017066956,-0.08998133987188339
317,Contempt,['lip_pucker'],0.3776954114437103,-0.08828523010015488
318,Contempt,"['sharp_lip_puller', 'lip_pucker']",0.39769214391708374,-0.086935855448246
319,Contempt,['right_inner_brow_raiser'],0.2882402241230011,-0.08246549963951111
320,Contempt,['lip_pucker'],0.3174886107444763,-0.07512826472520828
321,Contempt,"['sharp_lip_puller', 'right_inner_brow_raiser']",0.2847418487071991,-0.07915673404932022
322,Contempt,[],0.18307827413082123,-0.01151266135275364
323,Surprise,"['upper_lid_raiser', 'lips_part']",0.25576505064964294,-0.029116438701748848
324,Surprise,"['upper_lid_raiser', 'lips_part']",0.22636964917182922,-0.02109638787806034
325,Surprise,"['upper_lid_raiser', 'lips_part']",0.23960311710834503,-0.016701513901352882
326,Surprise,"['upper_lid_raiser', 'lips_part']",0.1957426369190216,-0.015815986320376396
327,Surprise,"['upper_lid_raiser', 'lips_part']",0.29548972845077515,0.032318972051143646
328,Surprise,"['lip_pucker', 'lips_part']",0.34099626541137695,-0.010362828150391579
