Frame,Gaze
4572,Task
4573,Task
4574,Task
4575,Task
4576,Task
4577,Task
4578,Task
4579,Task
4580,Task
4581,Task
4582,Task
4583,Task
4584,Task
4585,Task
4586,Task
4587,Task
4588,Robot
4589,Robot
4590,Robot
4591,Robot
4592,Robot
4593,Robot
4594,Task
4595,Task
4596,Task
4597,Task
4598,Task
4599,Task
4600,Task
4601,Task
4602,Task
4603,Task
4604,Task
4605,Task
4606,Task
4607,Task
4608,Task
4609,Robot
4610,Robot
4611,Robot
4612,Robot
4613,Robot
4614,Robot
4615,Robot
4616,Robot
4617,Robot
4618,Robot
4619,Robot
4620,Robot
4621,Robot
4622,Robot
4623,Robot
4624,Robot
4625,Robot
4626,Robot
4627,Robot
4628,Robot
4629,Task
4630,Task
4631,Robot
4632,Robot
4633,Robot
4634,Robot
4635,Robot
4636,Robot
4637,Robot
4638,Robot
4639,Robot
4640,Robot
4641,Robot
4642,Robot
4643,Task
4644,Robot
4645,Robot
4646,Robot
4647,Robot
4648,Robot
4649,Robot
4650,Robot
4651,Robot
4652,Robot
4653,Task
4654,Task
4655,Robot
4656,Robot
4657,Robot
4658,Robot
4659,Robot
4660,Robot
4661,Robot
4662,Robot
4663,Task
4664,Task
4665,Task
4666,Task
4667,Task
4668,Robot
4669,Robot
4670,Robot
4671,Robot
4672,Robot
4673,Robot
4674,Robot
4675,Robot
4676,Robot
4677,Robot
4678,Task
4679,Task
4680,Task
4681,Task
4682,Task
4683,Robot
5679,Robot
5680,Robot
5681,Task
5682,Task
5683,Task
5684,Task
5685,Task
5686,Task
5687,Task
5688,Task
5689,Task
5690,Task
5691,Task
5692,Task
5693,Task
5694,Task
5695,Task
5696,Task
5697,Task
5698,Task
5699,Task
5700,Task
5701,Task
5702,Task
5703,Task
5704,Task
5705,Task
5706,Task
5707,Task
5708,Task
5709,Task
5710,Task
5711,Task
5712,Task
5713,Task
5715,Task
5716,Task
5717,Task
5718,Task
5719,Task
5720,Task
5721,Task
5722,Task
5723,Task
5724,Task
5725,Task
5726,Robot
5727,Robot
5729,Robot
5730,Robot
5731,Robot
5732,Robot
5733,Robot
5734,Robot
5735,Task
5736,Task
5737,Task
5738,Task
5739,Task
5740,Task
5741,Task
5742,Task
5743,Task
5744,Task
5745,Task
5746,Task
5747,Task
5748,Task
5749,Task
5750,Task
5751,Task
5752,Task
5753,Task
5754,Task
5755,Task
5756,Task
5757,Task
5758,Task
5759,Task
5760,Task
5761,Task
5762,Task
5763,Task
5764,Task
5765,Task
5766,Task
5767,Task
5768,Task
5769,Task
5770,Task
5771,Task
5772,Task
5773,Task
5774,Task
5775,Task
5776,Task
5777,Robot
5778,Robot
5779,Task
5780,Task
5781,Task
5782,Task
5783,Task
5784,Task
5785,Task
5786,Task
5787,Task
5788,Robot
5789,Robot
5790,Robot
5791,Robot
5792,Task
5793,Task
5794,Task
5795,Task
5796,Task
5797,Task
5798,Task
5799,Task
5800,Task
5801,Task
5802,Task
5803,Task
5804,Task
5805,Task
5806,Task
5807,Task
5808,Task
5809,Task
5810,Task
5811,Task
5812,Robot
5813,Robot
5814,Task
5815,Task
5816,Task
5817,Task
5818,Task
5819,Task
5820,Task
5821,Task
5822,Task
5823,Task
5824,Task
5825,Task
5826,Task
5827,Robot
5828,Robot
5829,Robot
5830,Robot
5831,Task
5832,Task
5833,Task
5834,Task
5835,Task
5836,Task
5837,Task
5838,Task
5840,Task
5841,Task
5842,Task
5843,Task
5844,Task
5845,Task
5846,Task
5847,Task
5848,Task
5849,Task
5850,Task
5851,Task
6237,Task
6238,Task
6239,Task
6240,Task
6241,Task
6242,Task
6243,Task
6244,Task
6245,Task
6246,Task
6247,Task
6248,Task
6250,Task
6251,Task
6252,Task
6253,Task
6254,Task
6255,Task
6256,Task
6257,Task
6258,Task
6259,Task
6260,Task
6261,Task
6262,Task
6263,Task
6264,Task
6265,Robot
6266,Robot
6268,Robot
6269,Robot
6270,Robot
6271,Task
6272,Task
6273,Task
6274,Task
6275,Task
6276,Task
6277,Task
6278,Task
6279,Task
6280,Task
6281,Task
6282,Task
6283,Task
6284,Task
6285,Task
6286,Task
6287,Task
6288,Task
6289,Task
6290,Task
6291,Task
6292,Task
6293,Task
6294,Task
6295,Task
6296,Task
6297,Task
6298,Task
6299,Task
6300,Task
6301,Task
6302,Task
6303,Task
6304,Task
6305,Task
6306,Task
6307,Task
6308,Task
6309,Task
6310,Task
